subject_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,fog_label,gait_label
1,0.055607,0.460727,0.252862,-1.2121540000000002,0.644951,-0.4535869999999999,0,walking
2,-0.376703,0.4358729999999999,0.158319,-2.052547,0.8854879999999999,-1.002422,0,walking
3,-0.464242,0.32653,0.180719,-2.976461,1.525935,-1.320549,0,walking
4,-0.261086,0.360784,0.0974169999999999,-3.697163,1.295585,-1.43211,0,walking
5,0.287661,0.41857,-0.034937,-3.187276,0.9938,-0.997668,0,walking
6,0.661435,0.360944,-0.414592,-2.28281,2.574182,-0.062954,0,walking
7,0.718266,0.379333,-0.496726,-1.840203,4.4137580000000005,0.390706,0,walking
8,0.8191930000000001,0.327218,-0.4180859999999999,-1.197912,2.318843,-0.285785,0,walking
9,0.341357,0.60912,0.305741,-1.0258459999999998,1.033693,-1.38962,0,walking
10,0.181196,0.580507,0.004138,-1.603764,0.436533,-2.0680080000000003,0,walking
11,-0.216438,0.226942,-0.375971,-1.603862,-0.513886,-2.285776,0,walking
12,-0.118577,-0.053033,-0.4667199999999999,-1.762344,-1.072677,-2.00202,0,walking
13,0.153961,-0.507912,-0.580378,-1.822548,-1.334727,-1.685912,0,walking
14,0.209704,-0.649521,-0.571045,-1.687075,-1.41988,-1.288546,0,walking
15,0.1839329999999999,-0.668371,-0.558493,-1.258103,-1.342672,-0.988683,0,walking
16,0.136996,-0.695671,-0.590861,-0.8991899999999999,-1.479118,-0.744583,0,walking
17,0.127842,-0.653169,-0.495123,-0.6236229999999999,-1.623877,-0.480758,0,walking
18,0.181368,-0.724985,-0.461916,-0.340142,-1.5985049999999998,-0.145525,0,walking
19,0.19445,-0.76388,-0.454576,0.05005,-1.496032,0.262993,0,walking
20,0.182163,-0.730223,-0.330511,0.555059,-1.125042,0.555534,0,walking
21,0.034343,-0.5641010000000001,-0.207101,1.189902,-0.785673,0.6514,0,walking
22,-0.017974,-0.339688,-0.063867,1.0173020000000002,-0.267421,0.402771,0,walking
23,-0.224109,0.944027,0.782221,0.065705,0.479163,-0.059895,0,walking
24,-0.290858,1.653476,0.540619,-1.093907,-0.15757,-0.72734,0,walking
25,-0.465884,1.176266,0.257319,-0.783087,-1.563617,-1.025674,0,walking
26,-0.181846,-0.196431,0.333553,-0.353084,-2.102779,-1.098891,0,walking
27,0.1310859999999999,-0.721504,0.509915,-0.0195669999999999,-0.609903,-0.695755,0,walking
28,0.355361,-0.468008,0.5452359999999999,0.8129390000000001,0.094458,0.6583220000000001,0,walking
29,0.5026149999999999,0.462001,-0.115132,1.634221,0.609178,1.229556,0,walking
30,0.7938569999999999,1.6708419999999995,-0.209146,-0.359193,1.915385,0.250422,0,walking
31,0.364243,1.908234,-0.036393,-0.742233,-0.006254,-0.245446,0,walking
32,0.319319,-1.248818,-0.253224,0.622324,-1.171914,0.4973109999999999,0,walking
33,0.138071,-1.094227,-0.3448449999999999,1.977479,-0.519675,1.11376,0,walking
34,0.0627539999999999,-0.7879689999999999,-1.199822,3.5757550000000005,0.56735,1.481385,0,walking
35,0.108601,-0.132631,-1.357805,3.819941000000001,1.475228,1.470177,0,walking
36,-0.011313,0.892172,-0.191334,2.201929,2.873809,1.572451,0,walking
37,-0.143719,0.954729,0.0367199999999999,1.115693,0.1708619999999999,1.268157,0,walking
38,-0.13437,0.509509,-0.104621,1.122892,-1.736543,0.6040810000000001,0,walking
39,0.116719,-0.356717,-0.155303,1.380903,-2.222366,0.394998,0,walking
40,0.192689,-0.469683,-0.117495,1.413647,-1.793176,0.661732,0,walking
